Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
java,cesiumlanguagewriter,AlignedAxisCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: UnitCartesianPropertyName; UnitSphericalPropertyName; ReferencePropertyName; VelocityReferencePropertyName; DeletePropertyName
java,cesiumlanguagewriter,CheckerboardMaterialCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: EvenColorPropertyName; OddColorPropertyName; RepeatPropertyName
java,cesiumlanguagewriter,PolygonCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ShowPropertyName; PositionsPropertyName; HolesPropertyName; ArcTypePropertyName; HeightPropertyName; HeightReferencePropertyName; ExtrudedHeightPropertyName; ExtrudedHeightReferencePropertyName; StRotationPropertyName; GranularityPropertyName; FillPropertyName; MaterialPropertyName; OutlinePropertyName; OutlineColorPropertyName; OutlineWidthPropertyName; PerPositionHeightPropertyName; CloseTopPropertyName; CloseBottomPropertyName; ShadowsPropertyName; DistanceDisplayConditionPropertyName; ClassificationTypePropertyName; ZIndexPropertyName
java,cesiumlanguagewriter,PolygonCesiumWriter,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 19
java,cesiumlanguagewriter,JulianDate,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
java,cesiumlanguagewriter,JulianDate,Law of Demeter violation,The tool detected the smell in this method (add) because the method voilates the law of Demeter. The long chain of method invocations is : cesiumlanguagewriter.JulianDate.toInternationalAtomicTime; cesiumlanguagewriter.JulianDate.addIgnoringTimeStandard
java,cesiumlanguagewriter,JulianDate,Law of Demeter violation,The tool detected the smell in this method (subtract) because the method voilates the law of Demeter. The long chain of method invocations is : cesiumlanguagewriter.JulianDate.toInternationalAtomicTime; cesiumlanguagewriter.JulianDate.subtractIgnoringTimeStandard
java,cesiumlanguagewriter,JulianDate,Law of Demeter violation,The tool detected the smell in this method (subtract) because the method voilates the law of Demeter. The long chain of method invocations is : cesiumlanguagewriter.JulianDate.toInternationalAtomicTime; cesiumlanguagewriter.JulianDate.subtractIgnoringTimeStandard
java,cesiumlanguagewriter,EllipsoidCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ShowPropertyName; RadiiPropertyName; InnerRadiiPropertyName; MinimumClockPropertyName; MaximumClockPropertyName; MinimumConePropertyName; MaximumConePropertyName; HeightReferencePropertyName; FillPropertyName; MaterialPropertyName; OutlinePropertyName; OutlineColorPropertyName; OutlineWidthPropertyName; StackPartitionsPropertyName; SlicePartitionsPropertyName; SubdivisionsPropertyName; ShadowsPropertyName; DistanceDisplayConditionPropertyName
java,cesiumlanguagewriter,EllipsoidCesiumWriter,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 15
java,cesiumlanguagewriter,PolylineGlowMaterialCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ColorPropertyName; GlowPowerPropertyName; TaperPowerPropertyName
java,cesiumlanguagewriter,PolylineOutlineMaterialCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ColorPropertyName; OutlineColorPropertyName; OutlineWidthPropertyName
java,cesiumlanguagewriter,DoubleCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: NumberPropertyName; ReferencePropertyName; DeletePropertyName
